,,prix_au_m2,count,min,max,nom_commune
3700.0,Appartement,1922.636375810147,12,1265.625,3014.1304347826085,Bellerive-sur-Allier
3700.0,Maison,1707.4775188338058,57,516.6666666666666,3450.0,Bellerive-sur-Allier
3800.0,Appartement,909.5772352285396,5,592.0333333333333,1416.6666666666667,Gannat
3800.0,Maison,1399.7007396999766,41,513.6111111111111,2492.5742574257424,Saint-Bonnet-de-Rochefort
4000.0,Appartement,1708.1732991052522,79,639.7058823529412,3658.5365853658536,Digne-les-Bains
4000.0,Maison,2294.9907203965313,31,555.5555555555555,4526.0,Digne-les-Bains
4100.0,Appartement,1911.3879805352556,104,545.4545454545455,13000.0,Manosque
4100.0,Maison,3235.261678900606,28,1116.331096196868,8661.417322834646,Manosque
4110.0,Appartement,1981.132075471698,1,1981.132075471698,1981.132075471698,Villemus
4110.0,Maison,2173.437724183239,12,862.0689655172414,3162.2950819672133,Vachères
4120.0,Appartement,1181.5300842017734,12,579.1505791505791,1750.0,Soleilhas
4120.0,Maison,1881.62968611793,13,1095.2380952380952,3400.0,La Palud-sur-Verdon
4130.0,Appartement,2052.550326012289,9,1269.2307692307693,3105.5555555555557,Volx
4130.0,Maison,2530.614613156276,6,1511.7592592592594,3764.705882352941,Volx
4140.0,Appartement,1761.8690500812456,34,652.1739130434783,2958.3333333333335,Selonnet
4140.0,Maison,2363.5494073541377,14,990.0990099009902,5325.555555555556,Seyne
4150.0,Appartement,1541.3923045634456,4,833.3333333333334,3440.909090909091,Banon
4150.0,Maison,2294.450540723932,15,816.1290322580645,4354.0,Simiane-la-Rotonde
4160.0,Appartement,1761.4239482982955,12,761.6279069767442,2627.1186440677966,L'Escale
4160.0,Maison,2093.9852575527493,16,616.3636363636364,2969.6969696969695,Château-Arnoux-Saint-Auban
4170.0,Appartement,1614.25534526128,7,1098.4848484848485,2222.0,Saint-André-les-Alpes
4170.0,Maison,2280.6903946600696,14,1187.5,5666.666666666667,Allons
4180.0,Maison,2432.826954252461,14,757.5757575757576,3921.5686274509803,Villeneuve
4190.0,Appartement,1290.6477487057148,6,560.0,2692.8571428571427,Les Mées
4190.0,Maison,2563.3731495345273,17,625.0,8750.0,Les Mées
4200.0,Appartement,1456.719471691321,25,733.3333333333334,2680.0,Châteauneuf-Val-Saint-Donat
4200.0,Maison,2166.207417200892,46,925.925925925926,3956.043956043956,Sisteron
4210.0,Appartement,1194.0277777777778,3,583.3333333333334,2263.75,Valensole
4210.0,Maison,3069.408822687314,16,857.1428571428571,10043.478260869566,Valensole
4220.0,Appartement,2018.1835182115688,5,1282.608695652174,2754.5454545454545,Sainte-Tulle
4220.0,Maison,2181.904906945687,19,608.695652173913,3811.5942028985505,Corbières-en-Provence
4230.0,Appartement,1125.8660130718954,3,733.3333333333334,1562.5,Cruis
4230.0,Maison,2498.5662642660927,23,952.2292993630573,4872.340425531915,Saint-Étienne-les-Orgues
4240.0,Appartement,1693.2881660291298,6,524.0963855421687,3650.0,Annot
4240.0,Maison,1901.5516225001354,14,1181.6,3125.0,Méailles
4250.0,Appartement,2120.9711375212223,1,2120.9711375212223,2120.9711375212223,Clamensane
4250.0,Maison,1868.2604680806771,12,675.0,3589.74358974359,Bellaffaire
4260.0,Appartement,2789.8366168049415,92,1000.0,10714.285714285714,Allos
4260.0,Maison,4450.651417807948,6,3388.787878787879,5440.0,Allos
4270.0,Appartement,816.6739098942489,3,769.2307692307693,847.457627118644,Mézel
4270.0,Maison,1836.998015249662,18,766.6666666666666,4795.918367346939,Estoublon
4280.0,Maison,2574.6117813826827,16,948.6166007905139,6078.9473684210525,Céreste
